"MY","ACW","GS","G_1"
1.7640748,8.496,0.0493438924849033,1
1.6654499,7.8048,-0.104202735540457,2
1.7071917,8.5248,-0.32125179736875,1
1.6192412,8.5824,-0.117355342938681,1
1.6965036,9.1656,-0.0418120169872418,1
1.5975556,10.0512,-0.336766601540148,1
1.6395099,9.9864,-0.130688446136191,1
1.6788531,8.9496,-0.077761994136963,2
1.6193522,10.0728,-0.292900073658675,1
1.6574792,10.9872,-0.253205156447366,1
1.8649882,8.8704,-0.105773699735291,1
1.6961657,9.684,0.0248772637743969,1
1.6859325,10.836,0.0589453413244337,1
1.6268492,10.4112,-0.107214979443233,1
1.640445,9.7416,-0.0415295324486215,1
1.6289971,10.3608,0.0336348915705457,1
1.6596206,10.728,-0.193597463747137,1
1.7619339,9.5328,0.00480331582948565,1
1.723033,9.216,-0.107550009484403,1
1.7277863,9.2952,-0.0931940458796453,1
1.6993622,8.8776,-0.161499117198691,1
1.6438205,9.4104,-0.19057307585841,1
1.7242991,9.9792,-0.0803093142388389,2
1.8243609,8.9064,0.0380679429508746,1
1.8434381,8.496,-0.0237021659949096,1
1.7988076,9,0.0550442896003369,1
1.7182487,10.332,-0.0722471672971733,2
1.7161648,9.4896,0.0645047861302737,1
1.6593364,10.728,0.0852359825873282,1
1.6687193,9.72,-0.0805591153365094,1
1.655369,10.5192,0.00760162635240704,1
1.6336965,10.6992,-0.0125417280162219,1
1.6228552,10.8288,-0.393160050734878,1
1.6541046,9.8568,-0.223505501435138,1
1.6345773,9.6768,-0.486788059975952,1
1.6409211,9.5688,-0.358121196092106,1
1.7206701,9.72,-0.374825727068819,1
1.6191001,9.8424,-0.922202173173428,1
1.7399654,8.7264,-0.353239237023518,1
1.9076473,9.2808,0.132946472279727,1
1.7890388,9.468,0.0193347734352574,1
1.7287938,9.72,0.0368625863501802,1
1.6600437,9.5328,-0.0481388583390799,1
1.7715207,9.1872,0.0344076332589611,1
1.7967573,8.208,0.06628327912651,1
1.9178827,7.6536,0.0375955910451012,1
1.9205721,7.8408,0.0168578313066973,1
1.903136,6.588,-0.0787223141582217,1
2.0471661,6.8688,0.0456525275565218,1
1.8790631,7.9632,0.0829636278873659,1
1.7169784,7.9776,-0.15998343732208,1
1.732992,7.5024,-0.192579498044215,2
1.6879111,10.2024,-0.198886451916769,2
1.6199655,9.468,-0.192597929540498,2
1.8382492,8.1792,-0.337345242500305,1
1.7353693,8.8488,-0.196763754943386,1
1.5987061,7.9848,-0.255604077121243,1
1.7119936,8.9928,-0.117806563282502,1
1.6865535,8.6616,-0.134426602485473,1
1.7440531,7.38,-0.144462409103289,1
1.7578416,9.1008,0.123034607488662,2
1.8490881,9.5328,0.119087614573073,1
1.8380199,8.2944,-0.454759283661842,1
